ticker,date,sentiment,news_count
META,2024-01-17,0.756,7
META,2024-01-18,0.996,1
META,2024-01-19,0.7224,7
META,2024-01-20,0.9928,6
META,2024-01-21,0.9963,3
META,2024-01-22,0.8933,6
META,2024-01-23,0.9071,9
META,2024-01-24,0.6907,7
META,2024-01-25,0.8997,9
META,2024-01-26,0.7446,14
META,2024-01-27,0.9987,3
META,2024-01-28,0.6373,10
META,2024-01-29,0.7146,20
META,2024-01-30,0.7297,18
META,2024-01-31,0.3554,33
META,2024-02-01,0.6761,45
META,2024-02-02,0.6842,93
META,2024-02-03,0.7075,10
META,2024-02-04,0.8459,14
META,2024-02-05,0.2918,36
META,2024-02-06,0.4396,26
META,2024-02-07,0.7078,37
META,2024-02-08,0.6162,27
META,2024-02-09,0.6557,23
META,2024-02-10,0.6193,10
META,2024-02-11,0.4438,8
META,2024-02-12,0.6562,23
META,2024-02-13,0.9891,9
META,2024-02-14,0.7869,26
META,2024-02-15,0.558,25
META,2024-02-16,0.4527,11
META,2024-02-17,0.9987,3
META,2024-02-18,0.7843,6
META,2024-02-19,0.7344,8
META,2024-02-20,0.7583,20
META,2024-02-21,0.8157,10
META,2024-02-22,0.7141,21
META,2024-02-23,0.8345,11
META,2024-02-24,0.7205,8
META,2024-02-25,0.8063,8
META,2024-02-26,0.506,18
META,2024-02-27,0.6582,11
META,2024-02-28,0.8489,7
META,2024-02-29,0.5867,15
META,2024-03-01,0.7105,11
META,2024-03-02,0.3985,6
META,2024-03-03,0.999,1
META,2024-03-04,0.6431,14
META,2024-03-05,0.394,20
META,2024-03-06,0.544,19
META,2024-03-07,0.7842,5
META,2024-03-08,0.5141,11
META,2024-03-09,0.7448,5
META,2024-03-10,0.9975,2
META,2024-03-11,0.5799,20
META,2024-03-12,0.6902,13
META,2024-03-13,0.6819,8
META,2024-03-14,0.309,10
META,2024-03-15,0.518,5
META,2024-03-17,0.7298,8
META,2024-03-18,0.4803,7
META,2024-03-19,0.7137,15
META,2024-03-20,0.1909,8
META,2024-03-21,0.584,20
META,2024-03-22,0.6028,11
META,2024-03-23,0.6458,4
META,2024-03-24,0.8864,8
META,2024-03-25,0.877,18
META,2024-03-26,0.5168,10
META,2024-03-27,0.9028,13
META,2024-03-28,0.1307,15
META,2024-03-29,0.5548,5
META,2024-03-30,0.7485,4
META,2024-03-31,0.6514,5
META,2024-04-01,0.6947,13
META,2024-04-02,0.5883,14
META,2024-04-03,0.6487,7
META,2024-04-04,0.5015,11
META,2024-04-05,0.5896,9
META,2024-04-06,0.4527,3
META,2024-04-07,0.7272,5
META,2024-04-08,0.7268,9
META,2024-04-09,0.6303,13
META,2024-04-10,0.7995,12
META,2024-04-11,0.0639,9
META,2024-04-12,0.8958,12
META,2024-04-13,0.7976,5
META,2024-04-14,0.8619,11
META,2024-04-15,0.5314,8
META,2024-04-16,0.245,21
META,2024-04-17,0.7746,16
META,2024-04-18,0.8292,27
META,2024-04-19,0.67,26
META,2024-04-20,0.7205,4
META,2024-04-21,0.3085,4
META,2024-04-22,0.827,28
META,2024-04-23,0.7192,23
META,2024-04-24,0.7398,28
META,2024-04-25,0.4109,36
META,2024-04-26,0.687,28
META,2024-04-27,0.7661,14
META,2024-04-28,0.7005,8
META,2024-04-29,0.4901,23
META,2024-04-30,0.3538,25
META,2024-05-01,0.5149,18
META,2024-05-02,0.6109,15
META,2024-05-03,0.3987,14
META,2024-05-04,0.6173,6
META,2024-05-05,0.7597,7
META,2024-05-06,0.5279,15
META,2024-05-07,0.6999,12
META,2024-05-08,0.4888,17
META,2024-05-09,0.4789,16
META,2024-05-10,0.5685,15
META,2024-05-11,1.0,1
META,2024-05-12,0.774,8
META,2024-05-13,0.621,15
META,2024-05-14,0.6358,9
META,2024-05-15,0.5862,16
META,2024-05-16,0.5967,19
META,2024-05-17,0.6608,12
META,2024-05-18,0.564,6
META,2024-05-19,0.5887,6
META,2024-05-20,0.8468,9
META,2024-05-21,0.4665,11
META,2024-05-22,0.7902,5
META,2024-05-23,0.7791,17
META,2024-05-24,0.7752,17
META,2024-05-25,0.8445,2
META,2024-05-26,0.6623,3
META,2024-05-27,0.685,7
META,2024-05-28,0.5927,15
META,2024-05-29,0.6946,19
META,2024-05-30,0.7739,16
META,2024-05-31,0.1604,10
META,2024-06-01,0.9072,11
META,2024-06-02,0.5593,8
META,2024-06-03,0.6819,8
META,2024-06-04,0.7964,12
META,2024-06-05,0.5269,12
META,2024-06-06,0.5608,22
META,2024-06-07,0.7351,18
META,2024-06-08,0.7241,8
META,2024-06-09,0.74,4
META,2024-06-10,0.508,14
META,2024-06-11,0.9372,6
META,2024-06-12,0.5244,11
META,2024-06-13,0.8484,7
META,2024-06-14,0.7007,16
META,2024-06-15,0.7653,6
META,2024-06-16,0.9983,3
META,2024-06-17,0.8316,9
META,2024-06-18,0.7028,15
META,2024-06-19,0.7091,15
META,2024-06-20,0.6321,12
META,2024-06-21,0.719,21
META,2024-06-22,1.0,1
META,2024-06-23,0.6667,3
META,2024-06-24,0.5078,16
META,2024-06-25,0.7654,11
META,2024-06-26,0.7438,9
META,2024-06-27,0.589,14
META,2024-06-28,0.5246,13
META,2024-06-29,0.997,2
META,2024-06-30,0.7983,3
META,2024-07-01,0.2279,16
META,2024-07-02,0.5944,18
META,2024-07-03,0.8685,13
META,2024-07-04,0.7786,14
META,2024-07-05,0.6868,17
META,2024-07-06,0.999,1
META,2024-07-07,0.999,1
META,2024-07-08,0.8568,4
META,2024-07-09,0.4387,16
META,2024-07-10,0.8476,13
META,2024-07-11,0.5068,9
META,2024-07-12,0.4371,16
META,2024-07-13,0.999,2
META,2024-07-14,0.749,4
META,2024-07-15,0.7201,17
META,2024-07-16,0.951,4
META,2024-07-17,0.7802,5
META,2024-07-18,0.6484,13
META,2024-07-19,0.3392,13
META,2024-07-20,0.6094,5
META,2024-07-21,0.5797,7
META,2024-07-22,0.8198,8
META,2024-07-23,0.8423,20
META,2024-07-24,0.3129,16
META,2024-07-25,0.4087,20
META,2024-07-26,0.7602,20
META,2024-07-28,0.3773,11
META,2024-07-29,0.5937,17
META,2024-07-30,0.5178,29
META,2024-07-31,0.8196,22
META,2024-08-01,0.651,27
META,2024-08-02,0.7061,13
META,2024-08-03,0.6202,5
META,2024-08-04,0.998,1
META,2024-08-05,0.1492,16
META,2024-08-06,0.7416,16
META,2024-08-07,0.6301,14
META,2024-08-08,0.7273,21
META,2024-08-09,0.7132,17
META,2024-08-10,0.7966,5
META,2024-08-11,0.828,5
META,2024-08-12,0.5578,18
META,2024-08-13,0.7506,14
META,2024-08-14,0.6851,20
META,2024-08-15,0.6937,17
META,2024-08-16,0.6678,16
META,2024-08-18,0.7007,3
META,2024-08-19,0.992,3
META,2024-08-20,0.8251,8
META,2024-08-21,0.83,4
META,2024-08-22,0.9977,3
META,2024-08-23,0.9583,4
META,2024-08-24,0.7514,5
META,2024-08-25,0.721,6
META,2024-08-26,0.635,8
META,2024-08-27,0.3064,18
META,2024-08-28,0.5352,14
META,2024-08-29,0.7843,6
META,2024-08-30,0.7756,9
META,2024-08-31,0.9935,2
META,2024-09-01,0.9987,3
META,2024-09-02,0.6186,7
META,2024-09-03,0.671,7
META,2024-09-04,0.3734,8
META,2024-09-05,0.5254,14
META,2024-09-06,0.7263,9
META,2024-09-07,0.666,6
META,2024-09-08,0.9804,7
META,2024-09-09,0.9151,9
META,2024-09-10,0.5703,9
META,2024-09-11,0.6564,5
META,2024-09-12,0.6721,10
META,2024-09-13,0.999,1
META,2024-09-15,0.99,1
META,2024-09-16,0.5739,14
META,2024-09-17,0.4424,21
META,2024-09-18,0.5529,15
META,2024-09-19,0.7661,13
META,2024-09-20,0.999,1
META,2024-09-21,0.999,1
META,2024-09-22,0.991,5
META,2024-09-23,0.7642,9
META,2024-09-24,0.8625,4
META,2024-09-25,0.6988,9
META,2024-09-26,0.4219,15
META,2024-09-27,0.7497,11
META,2024-09-28,0.593,4
META,2024-09-29,0.9116,5
META,2024-09-30,0.7528,6
META,2024-10-01,0.8867,15
META,2024-10-02,0.4071,8
META,2024-10-03,0.7636,7
META,2024-10-04,0.6978,17
META,2024-10-05,0.9958,4
META,2024-10-06,0.8625,8
META,2024-10-07,0.999,1
META,2024-10-08,0.6031,14
META,2024-10-09,0.8399,17
META,2024-10-10,0.7087,9
META,2024-10-11,0.386,6
META,2024-10-12,0.5518,6
META,2024-10-13,0.9124,5
META,2024-10-14,0.7567,11
META,2024-10-15,0.998,1
META,2024-10-16,0.6339,8
META,2024-10-17,0.596,17
META,2024-10-18,0.5025,13
META,2024-10-19,0.8862,6
META,2024-10-20,0.9637,7
META,2024-10-21,0.9918,6
META,2024-10-23,0.1818,5
META,2024-10-24,0.137,1
META,2024-10-27,0.0,1
META,2024-10-29,0.202,6
META,2024-10-30,0.4282,6
META,2024-10-31,-0.0266,5
META,2024-11-01,0.4711,7
META,2024-11-02,0.6555,2
META,2024-11-03,0.102,2
META,2024-11-04,0.3183,3
META,2024-11-05,0.34,1
META,2024-11-06,0.1128,5
META,2024-11-07,0.739,2
META,2024-11-08,0.0452,6
META,2024-11-09,0.271,3
META,2024-11-11,0.778,1
META,2024-11-12,0.5813,3
META,2024-11-13,0.0,1
META,2024-11-14,-0.1014,7
META,2024-11-15,0.356,4
META,2024-11-17,0.0,1
META,2024-11-18,-0.056,2
META,2024-11-19,0.0,1
META,2024-11-20,0.535,3
META,2024-11-21,0.04,2
META,2024-11-22,0.504,3
META,2024-11-24,-0.101,2
META,2024-11-27,0.0,1
META,2024-11-28,-0.0445,4
META,2024-11-30,0.997,1
META,2024-12-03,0.2485,6
META,2024-12-05,0.2783,4
META,2024-12-06,0.4935,2
META,2024-12-08,0.1585,4
META,2024-12-09,-0.2235,2
META,2024-12-10,0.0503,4
META,2024-12-13,0.586,4
META,2024-12-14,-0.0243,4
META,2024-12-15,0.226,1
META,2024-12-16,0.511,1
META,2024-12-17,0.6518,5
META,2024-12-19,0.3358,4
META,2024-12-20,-0.0725,2
META,2024-12-23,0.0957,3
META,2024-12-24,0.49,2
META,2024-12-25,-0.625,1
META,2024-12-27,0.2707,3
META,2024-12-28,0.2968,4
META,2024-12-31,0.101,2
META,2025-01-01,0.0,1
META,2025-01-02,0.1405,4
META,2025-01-03,0.38,3
META,2025-01-05,-0.2897,3
META,2025-01-07,0.4467,6
META,2025-01-08,0.4433,4
META,2025-01-09,0.3653,3
META,2025-01-10,0.1525,6
META,2025-01-11,0.4067,3
META,2025-01-12,0.5433,4
META,2025-01-13,0.363,8
META,2025-01-14,0.3582,11
META,2025-01-15,0.5533,17
META,2025-01-16,0.4859,8
