ticker,company,collect_date,window_type,earnings_date,offset_from_ed,source_event_ticker
AMZN,Amazon,2023-07-02,quiet_spillover,2023-08-03,-32,AAPL
NVDA,NVIDIA,2023-07-02,quiet_spillover,2023-08-03,-32,AAPL
META,Meta,2023-07-02,quiet_spillover,2023-08-03,-32,AAPL
TSLA,Tesla,2023-07-02,quiet_spillover,2023-08-03,-32,AAPL
MSFT,Microsoft,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
GOOGL,Alphabet,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
AMZN,Amazon,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
NVDA,NVIDIA,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
META,Meta,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
TSLA,Tesla,2023-07-01,quiet_spillover,2023-08-03,-33,AAPL
MSFT,Microsoft,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
GOOGL,Alphabet,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
AMZN,Amazon,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
NVDA,NVIDIA,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
META,Meta,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
TSLA,Tesla,2023-06-30,quiet_spillover,2023-08-03,-34,AAPL
MSFT,Microsoft,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
GOOGL,Alphabet,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
AMZN,Amazon,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
NVDA,NVIDIA,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
META,Meta,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
TSLA,Tesla,2023-06-29,quiet_spillover,2023-08-03,-35,AAPL
MSFT,Microsoft,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
GOOGL,Alphabet,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
AMZN,Amazon,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
NVDA,NVIDIA,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
META,Meta,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
TSLA,Tesla,2023-06-28,quiet_spillover,2023-08-03,-36,AAPL
MSFT,Microsoft,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
GOOGL,Alphabet,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
AMZN,Amazon,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
NVDA,NVIDIA,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
META,Meta,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
TSLA,Tesla,2023-06-27,quiet_spillover,2023-08-03,-37,AAPL
MSFT,Microsoft,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
GOOGL,Alphabet,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
AMZN,Amazon,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
NVDA,NVIDIA,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
META,Meta,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
TSLA,Tesla,2023-05-03,sentiment_spillover,2023-05-04,-1,AAPL
MSFT,Microsoft,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
GOOGL,Alphabet,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
AMZN,Amazon,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
NVDA,NVIDIA,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
META,Meta,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
TSLA,Tesla,2023-05-02,sentiment_spillover,2023-05-04,-2,AAPL
MSFT,Microsoft,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
GOOGL,Alphabet,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
AMZN,Amazon,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
NVDA,NVIDIA,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
META,Meta,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
TSLA,Tesla,2023-05-01,sentiment_spillover,2023-05-04,-3,AAPL
MSFT,Microsoft,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
GOOGL,Alphabet,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
AMZN,Amazon,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
NVDA,NVIDIA,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
META,Meta,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
TSLA,Tesla,2023-04-30,sentiment_spillover,2023-05-04,-4,AAPL
MSFT,Microsoft,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
GOOGL,Alphabet,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
AMZN,Amazon,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
NVDA,NVIDIA,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
META,Meta,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
TSLA,Tesla,2023-04-29,sentiment_spillover,2023-05-04,-5,AAPL
MSFT,Microsoft,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
GOOGL,Alphabet,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
AMZN,Amazon,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
NVDA,NVIDIA,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
META,Meta,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
TSLA,Tesla,2023-04-28,sentiment_spillover,2023-05-04,-6,AAPL
MSFT,Microsoft,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
GOOGL,Alphabet,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
AMZN,Amazon,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
NVDA,NVIDIA,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
META,Meta,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
TSLA,Tesla,2023-04-27,sentiment_spillover,2023-05-04,-7,AAPL
MSFT,Microsoft,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
GOOGL,Alphabet,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
